nr S.	scalenie	znaczenie 1	znaczenie 2	znaczenie 3	POCHODZENIE	CZĘSTOŚĆ WYSTĄPIEŃ	WYSTĄPIENIA
G1025	G1025 βρέφος [brefos]; rzeczownik						
G1026	G1026 βρέχω [brechō]; czasownik						
G1027	G1027 βροντή [brontē]; rzeczownik						
G1028	G1028 βροχή [brochē]; rzeczownik						
G1029	G1029 βρόχος [brochos]; rzeczownik						
G1030	G1030 βρυγμός [brygmos]; rzeczownik						
G1031	G1031 βρύχω [brychō]; czasownik						
G1032	G1032 βρύω [bryō]; czasownik						
G1033	G1033 βρῶμα [brōma]; rzeczownik						
G1034	G1034 βρώσιμος [brōsimos]; przymiotnik						
G1035	G1035 βρῶσις [brōsis]; rzeczownik						
G1036	G1036 βυθίζω [bythidzō]; czasownik						
G1037	G1037 βυθός [bythos]; rzeczownik						
G1038	G1038 βυρσεύς [byrseus]; rzeczownik						
G1039	G1039 βύσσινος [byssinos]; przymiotnik						
G1040	G1040 βύσσος [byssos]; rzeczownik						
G1041	G1041 βῶμος [bōmos]; rzeczownik						
G1042	G1042 γαββαθά [Gabbatha]; rzeczownik						
G1043	G1043 Γαβριήλ [Gabriēl]; rzeczownik						
G1044	G1044 γάγγραινα [gangraina]; rzeczownik						
G1045	G1045 Γάδ [Gad]; rzeczownik						
G1046	G1046 Γαδαρηνός [Gadarēnos]; przymiotnik						
G1047	G1047 γάζα [gadza]; rzeczownik						
G1048	G1048 Γάζα [Gadza]; rzeczownik						
G1049	G1049 γαζοφυλάκιον [gadzofylakion]; rzeczownik						
G1050	G1050 Γάϊος [Gaïos]; rzeczownik						
G1051	G1051 γάλα [gala]; rzeczownik						
G1052	G1052 Γαλάτης [Galatēs]; rzeczownik						
G1053	G1053 Γαλατία [Galatia]; rzeczownik						
G1054	G1054 Γαλατικός [Galatikos]; przymiotnik						
G1055	G1055 γαλήνη [galēnē]; rzeczownik						
G1056	G1056 Γαλιλαία [Galilaia]; rzeczownik						
G1057	G1057 Γαλιλαῖος [Galilaios]; rzeczownik						
G1058	G1058 Γαλλίων [Galliōn]; rzeczownik						
G1059	G1059 Γαμαλιήλ [Gamaliēl]; rzeczownik						
G1060	G1060 γαμέω [gameō]; czasownik						
G1061	G1061 γαμίσκω [gamidzō]; czasownik						
G1062	G1062 γάμος [gamos]; rzeczownik						
G1063	G1063 γάρ [gar]; spójnik						
G1064	G1064 γαστήρ [gastēr]; rzeczownik						
G1065	G1065 γέ [ge]; partykuła						
G1066	G1066 Γεδεών [Gedeōn]; rzeczownik						
G1067	G1067 γέεννα [geenna]; rzeczownik						
G1068	G1068 Γεθσημανῆ [Gethsēmani]; rzeczownik						
G1069	G1069 γείτων [geitōn]; rzeczownik						
G1070	G1070 γελάω [gelaō]; czasownik						
G1071	G1071 γέλως [gelōs]; rzeczownik						
G1072	G1072 γεμίζω [gemidzō]; czasownik						
G1073	G1073 γέμω [gemō]; czasownik						
G1074	G1074 γενεά [genea]; rzeczownik						
G1075	G1075 γενεαλογέω [genealogeō]; czasownik						
G1076	G1076 γενεαλογία [genealogia]; rzeczownik						
G1077	G1077 γενέσια [genesia]; rzeczownik						
G1078	G1078 γένεσις [genesis]; rzeczownik						
G1079	G1079 γενετή [genetē]; rzeczownik						
G1080	G1080 γεννάω [gennaō]; czasownik						
G1081	G1081 γέννημα [gennēma]; rzeczownik						
G1082	G1082 Γεννησαρέτ [Gennēsaret]; rzeczownik						
G1083	G1083 γέννησις [gennēsis]; rzeczownik						
G1084	G1084 γεννητός [gennētos]; przymiotnik						
G1085	G1085 γένος [genos]; rzeczownik						
G1086	G1086 Γεργεσηνός [Gerasēnos]; rzeczownik						
G1087	G1087 γερουσία [gerusia]; rzeczownik						
G1088	G1088 γέρων [gerōn]; rzeczownik						
G1089	G1089 γεύομαι [geuomai]; czasownik						
G1090	G1090 γεωργέω [geōrgeō]; czasownik						
G1091	G1091 γεώργιον [geōrgion]; rzeczownik						
G1092	G1092 γεωργός [geōrgos]; rzeczownik						
G1093	G1093 γῆ [gē]; rzeczownik						
G1094	G1094 γήρας [gēras]; rzeczownik						
G1095	G1095 γηράσκω [gēraskō]; czasownik						
G1096	G1096 γίνομαι [ginomai]; czasownik						
G1097	G1097 γινώσκω [ginōskō]; czasownik						
G1098	G1098 γλεύκος [gleukos]; rzeczownik						
G1099	G1099 γλυκύς [glykys]; przymiotnik						
G1100	G1100 γλῶσσα [glōssa]; rzeczownik						
G1101	G1101 γλωσσόκομον [glōssokomon]; rzeczownik						
G1102	G1102 γναφεύς [gnafeus]; rzeczownik						
G1103	G1103 γνήσιος [gnēsios]; przymiotnik						
G1104	G1104 γνησίως [gnēsiōs]; przysłówek						
G1105	G1105 γνόφος [gnofos]; rzeczownik						
G1106	G1106 γνώμη [gnōmē]; rzeczownik						
G1107	G1107 γνωρίζω [gnōridzō]; czasownik						
G1108	G1108 γνῶσις [gnōsis]; rzeczownik						
G1109	G1109 γνώστης [gnōstēs]; rzeczownik						
G1110	G1110 γνωστός [gnōstos]; przymiotnik						
G1111	G1111 γογγύζω [gongydzō]; czasownik						
G1112	G1112 γογγυσμός [gongysmos]; rzeczownik						
G1113	G1113 γογγυστής [gongystēs]; rzeczownik						
G1114	G1114 γόης [goēs]; rzeczownik						
G1115	G1115 Γολγοθᾶ [Golgotha]; rzeczownik						
G1116	G1116 Γόμορῥα [Gomorra]; rzeczownik						
G1117	G1117 γόμος [gomos]; rzeczownik						
G1118	G1118 γονεύς [goneus]; rzeczownik						
G1119	G1119 γονύ [gony]; rzeczownik						
G1120	G1120 γονυπετέω [gonypeteō]; czasownik						
G1121	G1121 γράμμα [gramma]; rzeczownik						
G1122	G1122 γραμματεύς [grammateus]; rzeczownik						
G1123	G1123 γραπτός [graptos]; przymiotnik						
G1124	G1124 γραφή [grafē]; rzeczownik						
G1125	G1125 γράφω [grafō]; czasownik						
G1126	G1126 γραώδης [graōdēs]; przymiotnik						
G1127	G1127 γρηγορεύω [grēgoreō]; czasownik						
G1128	G1128 γυμνάζω [gymnadzō]; czasownik						
G1129	G1129 γυμνασία [gymnasia]; rzeczownik						
G1130	G1130 γυμνητεύω [gymnēteuō]; czasownik						
G1131	G1131 γυμνός [gymnos]; przymiotnik						
G1132	G1132 γυμνότης [gymnotēs]; rzeczownik						
G1133	G1133 γυναικάριον [gynaikarion]; rzeczownik						
G1134	G1134 γυναικεῖος [gynaikeios]; przymiotnik						
G1135	G1135 γυνή [gynē]; rzeczownik						
G1136	G1136 Γώγ [Gōg]; rzeczownik						
G1137	G1137 γωνία [gōnia]; rzeczownik						
G1138	G1138 Δαβίδ [Dabid]; rzeczownik						
G1139	G1139 δαιμονίζομαι [daimonidzomai]; czasownik						
G1140	G1140 δαιμόνιον [daimonion]; rzeczownik						
G1141	G1141 δαιμονιώδης [daimoniōdēs]; przymiotnik						
G1142	G1142 δαίμων [daimōn]; rzeczownik						
G1143	G1143 δάκνω [daknō]; czasownik						
G1144	G1144 δάκρυ [dakry]; rzeczownik						
G1145	G1145 δακρύω [dakryō]; czasownik						
G1146	G1146 δακτύλιος [daktylios]; rzeczownik						
G1147	G1147 δάκτυλος [daktylos]; rzeczownik						
G1148	G1148 Δαλμανουθά [Dalmanutha]; rzeczownik						
G1149	G1149 Δαλματία [Dalmatia]; rzeczownik						
G1150	G1150 δαμάζω [damadzō]; czasownik						
G1151	G1151 δάμαλις [damalis]; rzeczownik						
G1152	G1152 Δάμαρις [Damaris]; rzeczownik						
G1153	G1153 Δαμασκηνός [Damaskēnos]; przymiotnik						
G1154	G1154 Δαμασκός [Damaskos]; rzeczownik						
G1155	G1155 δανείζω [daneidzō]; czasownik						
G1156	G1156 δάνειον [dan(e)ion]; rzeczownik						
G1157	G1157 δανειστής [daneistēs]; rzeczownik						
G1158	G1158 Δανιήλ [Daniēl]; rzeczownik						
G1159	G1159 δαπανάω [dapanaō]; czasownik						
G1160	G1160 δαπάνη [dapanē]; rzeczownik						
G1161	G1161 δέ [de]; spójnik						
G1162	G1162 δέησις [deēsis]; rzeczownik						
G1163	G1163 δεῖ [dei]; czasownik						
G1164	G1164 δεῖγμα [deigma]; rzeczownik						
G1165	G1165 δειγματίζω [deigmatidzō]; czasownik						
G1166	G1166 δεικνύω [deiknyō]; czasownik						
G1167	G1167 δειλία [deilia]; rzeczownik						
G1168	G1168 δειλιάω [deiliaō]; czasownik						
G1169	G1169 δειλός [deilos]; przymiotnik						
G1170	G1170 δεῖνα [deina]; przymiotnik						
G1171	G1171 δεινῶς [deinōs]; przysłówek						
G1172	G1172 δειπνέω [deipneō]; czasownik						
G1173	G1173 δεῖπνον [deipnon]; rzeczownik						
G1174	G1174 δεισιδαιμονέστερος [deisidaimōn]; przymiotnik						
G1175	G1175 δεισιδαιμονία [deisidaimonia]; rzeczownik						
G1176	G1176 δέκα [deka]; rzeczownik						
G1177	G1177 δεκαδύο [dekadyo]; rzeczownik						
G1178	G1178 δεκαπέντε [dekapente]; rzeczownik						
G1179	G1179 Δεκάπολις [Dekapolis]; rzeczownik						
G1180	G1180 δεκατέσσαρες [dekatessares]; rzeczownik						
G1181	G1181 δεκάτη [dekatē]; przymiotnik						
G1182	G1182 δέκατος [dekatos]; przymiotnik						
G1183	G1183 δεκατόω [dekatoō]; czasownik						
G1184	G1184 δεκτός [dektos]; przymiotnik						
G1185	G1185 δελεάζω [deleadzō]; czasownik						
G1186	G1186 δένδρον [dendron]; rzeczownik						
G1187	G1187 δεξιολάβος [dexiolabos]; rzeczownik						
G1188	G1188 δεξιός [dexios]; przymiotnik						
G1189	G1189 δέομαι [deomai]; czasownik						
G1190	G1190 Δερβαῖος [Derbaios]; przymiotnik						
G1191	G1191 Δέρβη [Derbē]; rzeczownik						
G1192	G1192 δέρμα [derma]; rzeczownik						
G1193	G1193 δερμάτινος [dermatinos]; przymiotnik						
G1194	G1194 δέρω [derō]; czasownik						
G1195	G1195 δεσμεύω [desmeuō]; czasownik						
G1196	G1196 δεσμέω [desmeō]; czasownik						
G1197	G1197 δεσμή [desmē]; rzeczownik						
G1198	G1198 δέσμιος [desmios]; rzeczownik						
G1199	G1199 δεσμόν [desmos]; rzeczownik						
G1200	G1200 δεσμοφύλαξ [desmofylax]; rzeczownik						
G1201	G1201 δεσμωτήριον [desmōtērion]; rzeczownik						
G1202	G1202 δεσμώτης [desmōtēs]; rzeczownik						
G1203	G1203 δεσπότης [despotēs]; rzeczownik						
G1204	G1204 δεῦρο [deuro]; przysłówek						
G1205	G1205 δεῦτε [deute]; czasownik						
G1206	G1206 δευτεραῖος [deuteraios]; przymiotnik						
G1207	G1207 δευτερόπρωτος [deuteroprōtos]; przymiotnik						
G1208	G1208 δεύτερος [deuteros]; przymiotnik						
G1209	G1209 δέχομαι [dechomai]; czasownik						
G1210	G1210 δέω [deō]; czasownik						
G1211	G1211 δή [dē]; partykuła						
G1212	G1212 δῆλος [dēlos]; przymiotnik						
G1213	G1213 δηλόω [dēloō]; czasownik						
G1214	G1214 Δημᾶς [Dēmas]; rzeczownik						
G1215	G1215 δημηγορέω [dēmēgoreō]; czasownik						
G1216	G1216 Δημήτριος [Dēmētrios]; rzeczownik						
G1217	G1217 δημιουργός [dēmiurgos]; rzeczownik						
G1218	G1218 δῆμος [dēmos]; rzeczownik						
G1219	G1219 δημόσιος [dēmosios]; przymiotnik						
G1220	G1220 δηνάριον [dēnarion]; rzeczownik						
G1221	G1221 δήποτε [dēpote]; partykuła						
G1222	G1222 δήπου [dēpu]; przysłówek						
G1223	G1223 διά [dia]; przyimek						
G1224	G1224 διαβαίνω [diabainō]; czasownik						
G1225	G1225 διαβάλλω [diaballō]; czasownik						
G1226	G1226 διαβεβαιόομαι [diabebaioomai]; czasownik						
G1227	G1227 διαβλέπω [diablepō]; czasownik						
G1228	G1228 διάβολος [diabolos]; przymiotnik						
G1229	G1229 διαγγέλλω [diangellō]; czasownik						
G1230	G1230 διαγίνομαι [diaginomai]; czasownik						
G1231	G1231 διαγινώσκω [diaginōskō]; czasownik						
G1232	G1232 διαγνωρίζω [diagnōridzō]; czasownik						
G1233	G1233 διάγνωσις [diagnōsis]; rzeczownik						
G1234	G1234 διαγογγύζω [diagongydzō]; czasownik						
G1235	G1235 διαγρηγορέω [diagrēgoreō]; czasownik						
G1236	G1236 διάγω [diagō]; czasownik						
G1237	G1237 διαδέχομαι [diadechomai]; czasownik						
G1238	G1238 διάδημα [diadēma]; rzeczownik						
G1239	G1239 διαδίδωμαι [diadidōmi]; czasownik						
G1240	G1240 διάδοχος [diadochos]; rzeczownik						
G1241	G1241 διαζώννυμι [diadzōnnymi]; czasownik						
G1242	G1242 διαθήκη [diathēkē]; rzeczownik						
G1243	G1243 διαίρεσις [diairesis]; rzeczownik						
G1244	G1244 διαιρέω [diaireō]; czasownik						
G1245	G1245 διακαθαρίζω [diakatharidzō]; czasownik						
G1246	G1246 διακατελέγχομαι [diakatelegchomai]; czasownik						
G1247	G1247 διακονέω [diakoneō]; czasownik						
G1248	G1248 διακονία [diakonia]; rzeczownik						
G1249	G1249 διάκονος [diakonos]; rzeczownik						
G1250	G1250 διακόσιοι [diakosioi]; rzeczownik						
G1251	G1251 διακούομαι [diakuō]; czasownik						
G1252	G1252 διακρίνω [diakrinō]; czasownik						
G1253	G1253 διάκρισις [diakrisis]; rzeczownik						
G1254	G1254 διακωλύω [diakōlyō]; czasownik						
G1255	G1255 διαλαλέω [dialaleō]; czasownik						
G1256	G1256 διαλέγομαι [dialegomai]; czasownik						
G1257	G1257 διαλείπω [dialeipō]; czasownik						
G1258	G1258 διάλεκτος [dialektos]; rzeczownik						
G1259	G1259 διαλλάσσω [diallassō]; czasownik						
G1260	G1260 διαλογίζομαι [dialogidzomai]; czasownik						
G1261	G1261 διαλογισμός [dialogismos]; rzeczownik						
G1262	G1262 διαλύω [dialyō]; czasownik						
G1263	G1263 διαμαρτύρομαι [diamartyromai]; czasownik						
G1264	G1264 διαμάχομαι [diamachomai]; czasownik						
G1265	G1265 διαμένω [diamenō]; czasownik						
G1266	G1266 διαμερίζω [diameridzō]; czasownik						
G1267	G1267 διαμερισμός [diamerismos]; rzeczownik						
G1268	G1268 διανέμω [dianemō]; czasownik						
G1269	G1269 διανεύω [dianeuō]; czasownik						
G1270	G1270 διανόημα [dianoēma]; rzeczownik						
G1271	G1271 διάνοια [dianoia]; rzeczownik						
G1272	G1272 διανοίγω [dianoigō]; czasownik						
G1273	G1273 διανυκτερεύω [dianyktereuō]; czasownik						
G1274	G1274 διανύω [dianyō]; czasownik						
G1275	G1275 διαπαντός [diapantos]; przysłówek						
G1276	G1276 διαπεράω [diaperaō]; czasownik						
G1277	G1277 διαπλέω [diapleō]; czasownik						
G1278	G1278 διαπονέω [diaponeomai]; czasownik						
G1279	G1279 διαπορεύομαι [diaporeuomai]; czasownik						
G1280	G1280 διαπορέω [diaporeō]; czasownik						
G1281	G1281 διαπραγματεύομαι [diapragmateuomai]; czasownik						
G1282	G1282 διαπρίω [diapriō]; czasownik						
G1283	G1283 διαρπάζω [diarpadzō]; czasownik						
G1284	G1284 διαρῥήσσω [diarrēssō]; czasownik						
G1285	G1285 διασαφέω [diasafeō]; czasownik						
G1286	G1286 διασείω [diaseiō]; czasownik						
G1287	G1287 διασκορπίζω [diaskorpidzō]; czasownik						
G1288	G1288 διασπάω [diaspaō]; czasownik						
G1289	G1289 διασπείρω [diaspeirō]; czasownik						
G1290	G1290 διασπορά [diaspora]; rzeczownik						
G1291	G1291 διαστέλλομαι [diastellō]; czasownik						
G1292	G1292 διάστημα [diastēma]; rzeczownik						
G1293	G1293 διαστολή [diastolē]; rzeczownik						
G1294	G1294 διαστρέφω [diastrefō]; czasownik						
G1295	G1295 διασώζω [diasōdzō]; czasownik						
G1296	G1296 διαταγή [diatagē]; rzeczownik						
G1297	G1297 διάταγμα [diatagma]; rzeczownik						
G1298	G1298 διαταράσσω [diatarassō]; czasownik						
G1299	G1299 διατάσσω [diatassō]; czasownik						
G1300	G1300 διατελέω [diateleō]; czasownik						
G1301	G1301 διατηρέω [diatēreō]; czasownik						
G1302	G1302 διατί [diati]; partykuła						
G1303	G1303 διατίθεμαι [diatithēmi]; czasownik						
G1304	G1304 διατρίβω [diatribō]; czasownik						
G1305	G1305 διατροφή [diatrofē]; rzeczownik						
G1306	G1306 διαυγάζω [diaugadzō]; czasownik						
G1307	G1307 διαφανής [diafanēs]; przymiotnik						
G1308	G1308 διαφέρω [diaferō]; czasownik						
G1309	G1309 διαφεύγω [diafeugō]; czasownik						
G1310	G1310 διαφημίζω [diafēmidzō]; czasownik						
G1311	G1311 διαφθείρω [diaftheirō]; czasownik						
G1312	G1312 διαφθορά [diafthora]; rzeczownik						
G1313	G1313 διάφορος [diaforos]; przymiotnik						
G1314	G1314 διαφυλάσσω [diafylassō]; czasownik						
G1315	G1315 διαχειρίζομαι [diacheiridzō]; czasownik						
G1316	G1316 διαχωρίζομαι [diachōridzō]; czasownik						
G1317	G1317 διδακτικός [didaktikos]; przymiotnik						
G1318	G1318 διδακτός [didaktos]; przymiotnik						
G1319	G1319 διδασκαλία [didaskalia]; rzeczownik						
G1320	G1320 διδάσκαλος [didaskalos]; rzeczownik						
G1321	G1321 διδάσκω [didaskō]; czasownik						
G1322	G1322 διδαχή [didachē]; rzeczownik						
